country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,,,,26.4,27.5,28.9,29,29.5,32.7,32.4,31.5,30.1,30.2,37.2,34.9,32.6,27.6,30.6,29.1,27.7,,,
Paraguay,,,,,14.7,12.1,10.3,10.6,9.32,,,10.9,,,11.2,12.6,12.3,,,,11.9,,
Qatar,,,,,,,,,,,,,,10.9,,,,,,,,,
Romania,,,,,,,,13.8,14.7,15.8,8.85,15.6,15.6,15.6,13.9,11.8,12.5,14,16.3,16.2,15.2,,
Rwanda,,,,,40,,,,,,,29.3,30.8,,34.5,36.1,32.6,37.4,,31.2,37.1,,21.7
Saudi Arabia,,,,,,,,,,,,17.6,,,,,,,,,,,
Senegal,,,27.7,,,,,,,24.9,24.3,,19.8,,25.3,21.4,18.6,20.9,24.7,20.5,11.4,,11.4
Singapore,,,,,,,,,,,,,14,15.6,16.5,,,,,,,21.6,
Sierra Leone,,,,,,,,,,,,,,,,13.1,11.6,8.67,,,5.51,14.3,
El Salvador,,,8.64,,8.24,,10.8,10.1,,10.7,9.24,11.1,11.2,14.8,13.1,,11.6,11.5,11.9,13.1,15,15.5,15.1
San Marino,,,,,,,,,,,,,,,12.2,11.4,,,,,,,
Serbia,,,,,,,,,,,,12.2,12.7,12.8,12.4,12.3,,,,11.1,,,
South Sudan,,,,,,,,,,,,,,,,6.98,,,,,11.9,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,18.1,19.1,8.56,,,,
Slovak Republic,,7.94,,18.1,15.9,16.4,18.3,17.1,16.5,14.9,14.5,14.3,14.7,17.9,18.9,18,18.4,20.1,21,21.1,20.1,,
Slovenia,,,,,,25.1,24.1,24.3,,,,,,,30.5,30.8,29.5,25.8,25.1,24,23,,
Sweden,,,27,24.9,24.4,24.1,24.3,24.3,31.6,30.7,29.9,29,29.2,31.2,30.2,31,24.7,24.8,24.5,23.6,23.8,,
Eswatini,,,,22.1,24.8,26.9,22.8,38.9,24.9,34.3,30,,27.9,,27.6,30.3,,,28.2,,,,
Seychelles,,,24,,,,14.5,15.8,,,,,,,,7.17,9.39,12.5,16.6,,15.3,,
Syria,,18.4,18.5,21.6,23.4,,24.4,,,,,13.6,,15.1,,,14.2,,,,,,
Turks and Caicos Islands,,,,,27.6,,,26,,21.9,,,,,,,,,,23,,,18.4
Chad,,26.7,29.4,,,,,,25.1,24.8,,,,18,15.1,21.4,12.8,17.7,,,,,
