country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,14,14,13,14,14,14,13,11,10,10,10,10,9,9
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,8,8,9,9,8,6,7,8,8,7,6,6,5
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,35,33,34,32,30,32,32,29,28,26,26,23,27,24,23
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,174,162,152,142,131,121,113,106,99,92,86,81,78,76,74
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,38,36,32,34,31,31,29,28,29,21,22,21,23,22
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,552,547,543,539,526,513,503,491,474,453,432,413,394,378,363
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,111,105,97,89,75,71,71,72,71,67,62,60,58,56,54
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,56,55,54,54,51,49,49,51,46,43,41,39,38,36
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,12,10,11,10,10,10,8,8,8,8,8,8,8,8
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,797,764,739,715,691,675,663,661,661,660,663,663,663,642,620
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,10,9,8,8,8,8,7,8,7,7,7,6,7
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,331,323,314,307,299,293,287,289,274,265,259,254,251,247,246
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,11,11,10,9,9,8,8,8,7,7,7,6,6,6
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,138,124,114,106,98,91,85,80,73,66,59,54,51,49,47
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,745,700,657,615,577,539,505,471,439,412,389,371,356,339,318
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,835,836,836,830,826,821,820,819,822,824,822,812,805,796,785
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,54,54,57,54,53,55,56,53,59,66,54,63,60,70,73
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,735,714,687,654,610,566,526,493,466,444,428,413,396,381,370
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,34,33,32,31,30,30,29,29,30,30,30,30,30,30
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,803,795,782,770,755,739,725,709,688,663,639,616,594,573,555
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1180,1170,1130,1080,1040,1010,996,987,978,972,963,951,943,931
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,157,151,145,138,131,124,121,116,113,112,110,108,105,103,101
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,12,11,11,9,9,8,8,7,7,7,6,6,6
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,521,520,470,447,415,386,361,342,323,305,285,266,248,231,236
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,12,12,11,11,11,11,10,11,11,10,10,9,10,10
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,19
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,275,264,254,243,237,222,214,205,199,191,180,173,166,161,154
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,86,91,93,88,88,88,86,84,82,79,76,74,66,60,58
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,138,132,127,122,118,114,112,108,106,104,102,100,98,96,94
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,163,160,156,156,156,156,149,148,149,144,141,139,136,131,127
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,242,234,225,213,200,187,179,173,170,168,166,164,160,155,151
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,128,122,121,120,120,120,119,118,113,106,100,96,94,93,91
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,191,188,185,180,174,168,163,158,153,148,145,141,138,135,132
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,69,70,66,64,59,58,56,53,50,45,42,40,36,37,32
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,13,13,13,12,11,11,11,10,10,10,10,10,10,9
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,49,47,43,39,35,32,30,28,28,27,24,23,21,21,21
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,53,51,49,45,42,36,32,30,27,25,23,22,20,19,18
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1100,961,870,758,643,541,469,427,424,373,349,329,308,291,275
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,23,23,22,22,21,21,20,20,19,18,18,17,17,17
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,645,614,598,580,529,508,479,454,433,408,390,368,349,333,320
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,545,537,532,526,519,514,504,492,472,447,423,400,381,364,346
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,13,14,13,13,12,11,10,10,10,10,9,8,9
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,233,222,210,199,188,177,172,159,152,141,134,127,122,120,112
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,2250,2080,1960,1850,1760,1680,1610,1530,1450,1360,1270,1210,1180,1190,1180
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,75,68,66,64,62,60,58,57,57,54,53,52,50,49,48
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1170,1140,1100,1080,1040,1040,1030,1010,994,985,955,943,893,878,855
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,1690,1660,1610,1550,1480,1410,1330,1250,1170,1100,1070,1050,1090,1140,1110
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,173,169,167,166,163,158,154,150,145,140,137,134,132,131,130
